D,S,ho,do,hc,hz,du,J,Q,Hi,y
75,1350,50,35,150,225,38,4.7,7.5,12,9680
75,1350,60,35,150,225,38,4.7,5,1,2765.992677
75,1350,60,35,150,225,38,4.7,5,2,3044.053418
75,1350,60,35,150,225,38,4.7,5,3,3004.659424
75,1350,60,35,150,225,38,4.7,5,4,3406.956396
75,1350,60,35,150,225,38,4.7,5,5,3318.351124
75,1350,60,35,150,225,38,4.7,5,6,3340.728224
75,1350,60,35,150,225,38,4.7,5,7,3792.780812
75,1350,60,35,150,225,38,4.7,5,8,4384.511768
75,1350,60,35,150,225,38,4.7,5,9,4326.858446
75,1350,60,35,150,225,38,4.7,5,10,4080.808936
75,1350,60,35,150,225,38,4.7,5,11,5840
75,1350,60,35,150,225,38,4.7,5,12,5580
75,1350,60,35,150,225,38,4.7,7.5,1,2256.91449
75,1350,60,35,150,225,38,4.7,7.5,2,4486.445802
75,1350,60,35,150,225,38,4.7,7.5,3,4905.278124
75,1350,60,35,150,225,38,4.7,7.5,4,4520.478614
75,1350,60,35,150,225,38,4.7,7.5,5,4614.179784
75,1350,60,35,150,225,38,4.7,7.5,6,5389.991014
75,1350,60,35,150,225,38,4.7,7.5,7,5366.486818
75,1350,60,35,150,225,38,4.7,7.5,8,5604.686622
75,1350,60,35,150,225,38,4.7,7.5,9,5942.22461
75,1350,60,35,150,225,38,4.7,7.5,10,6557.249706
75,1350,60,35,150,225,38,4.7,7.5,11,9410
75,1350,60,35,150,225,38,4.7,7.5,12,9970
75,1350,70,35,150,225,38,4.7,5,1,4475.5334
75,1350,70,35,150,225,38,4.7,5,2,2502.367432
75,1350,70,35,150,225,38,4.7,5,3,2626.71797
75,1350,70,35,150,225,38,4.7,5,4,2570.104394
75,1350,70,35,150,225,38,4.7,5,5,2572.794824
75,1350,70,35,150,225,38,4.7,5,6,2798.232568
75,1350,70,35,150,225,38,4.7,5,7,3706.888378
75,1350,70,35,150,225,38,4.7,5,8,4315.050584
75,1350,70,35,150,225,38,4.7,5,9,4548.722412
75,1350,70,35,150,225,38,4.7,5,10,4580.073048
75,1350,70,35,150,225,38,4.7,5,11,3860
75,1350,70,35,150,225,38,4.7,5,12,4010
75,1350,70,35,150,225,38,4.7,7.5,1,6798.99
75,1350,70,35,150,225,38,4.7,7.5,2,5947.52
75,1350,70,35,150,225,38,4.7,7.5,3,7187.34
75,1350,70,35,150,225,38,4.7,7.5,4,5740.68
75,1350,70,35,150,225,38,4.7,7.5,5,6560.33
